번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
850,목초,대관령,2000,9030,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
851,목초,대관령,2000,8200,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
852,목초,대관령,2000,8800,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
853,목초,대관령,2001,6292,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
854,목초,대관령,2001,6684,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
855,목초,대관령,2001,6168,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
856,목초,대관령,2001,7896,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
857,목초,대관령,2001,7909,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
858,목초,대관령,2001,7298,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
859,목초,대관령,2001,7339,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
860,목초,대관령,2002,9207,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
861,목초,대관령,2002,9069,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
862,목초,대관령,2002,9134,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
863,목초,대관령,2002,8973,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
864,목초,대관령,2002,9515,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
865,목초,대관령,2002,8677,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
866,목초,대관령,2002,8849,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
867,목초,대관령,2000,9590,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
868,목초,대관령,2000,10210,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
869,목초,대관령,2000,10210,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
870,목초,대관령,2000,10510,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
871,목초,대관령,2001,7547,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
872,목초,대관령,2001,7602,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
873,목초,대관령,2001,7642,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
874,목초,대관령,2001,8197,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
875,목초,대관령,2002,8882,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
876,목초,대관령,2002,8399,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
877,목초,대관령,2002,9460,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
878,목초,대관령,2002,8486,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
879,목초,천안,2009,12841,12.3,-18.2,33.3,1,1,999.9,68.8,2151.8,48.32,2
880,목초,평창,2009,13533,7.4,-18.6,29.9,5,3,1027,72.6,2071.6,46.51,3.4
881,목초,제주,2009,22151,16,-2.5,33.6,6,2,1304.8,62.5,1764.7,39.67,3.5
882,목초,진주,2009,15030,13.8,-14.1,33.1,1,1,1608.9,64.9,2186,49.13,1.3
883,목초,천안,2010,10887,12.2,-19.5,34.9,14,5,1378.3,70.4,1970.9,44.26,2
884,목초,평창,2010,11286,7.2,-24,30.1,18,4,1341.2,72.8,1999.6,44.89,3.6
885,목초,제주,2010,16858,15.6,-2.3,35.8,13,5,1584.9,66.5,1681.8,38.07,3.3
886,목초,진주,2010,16280,13.1,-12.5,35.2,7,3,1896,67.7,2109.5,47.41,1.2
887,목초,천안,2011,5030,12,-18.3,34.3,6,4,1845.8,67.3,2048.5,46,2.1
888,목초,평창,2011,12538,6.8,-23.8,28.3,8,2,2085.7,72.1,2073,46.53,3.4
889,목초,제주,2011,13828,15.6,-2.8,34.7,8,3,1478.6,68.7,1720,38.66,3.3
890,목초,진주,2011,9960,13,-15.6,34.7,4,2,2026.4,66.1,2212.8,49.73,1.3
891,목초,천안,2012,10081,11.9,-17.8,36.4,20,17,1336.7,67.2,2248.8,50.39,2.1
892,목초,평창,2012,5791,6.5,-23.5,30.7,18,12,1398.8,73.5,2363.7,52.95,3.4
893,목초,제주,2012,9937,15.7,-2.8,34.9,5,2,2248.3,71.3,1693.4,37.98,3.4
894,목초,진주,2012,10840,12.7,-14.3,35.4,14,6,1752.9,67.3,2462.9,55.22,1.2
895,목초,천안,2013,8771,12.3,-19.2,35.6,14,6,1095.6,70.8,2469.8,55.47,2
896,목초,평창,2013,10184,7.5,-26.8,30.1,9,6,1238.3,73.2,2467.1,55.39,3.8
897,목초,제주,2013,16303,16.5,-1.8,36.3,23,5,859.1,72.1,1990.2,44.73,3.2
898,목초,진주,2013,14390,13.4,-13,36.7,17,16,1220.6,68.2,2673.9,60.09,1.2
899,목초,천안,2014,11587,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
900,목초,평창,2014,18083,7.7,-19.8,30.6,14,4,876.5,73.5,2382.3,53.49,3.2
901,목초,제주,2014,13538,16.2,0.1,35.2,3,2,1563.4,70.3,1755.5,39.46,3.2
902,목초,진주,2014,11830,13.2,-10.6,35.5,6,2,1644.9,68.3,2401.8,53.98,1.1
903,목초,천안,2015,14559,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
904,목초,평창,2015,9741,8,-19.8,30,16,3,676,72.5,2570.8,57.71,3.3
905,목초,제주,2015,20372,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
906,목초,진주,2015,17652,13.4,-11.5,35.5,11,6,1324.8,68.1,2460.4,55.29,1.1
907,목초,천안,2016,9083,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
908,목초,평창,2016,14821,8.1,-23,32.4,23,10,940.4,72.9,2719.4,60.92,3.4
909,목초,제주,2016,18745,17,-5.8,35.5,15,7,1416.4,71.9,1718.4,38.54,3.1
910,목초,진주,2016,16159,13.8,-12.8,37.5,27,18,1734.6,66.3,2282.4,51.18,1.1
911,목초,천안,2017,7895,11.8,-15.9,35.2,6,3,1305,64.1,2473.1,55.54,1.5
912,목초,평창,2017,10490,7.3,-21.1,31.1,9,4,996.1,71.3,2909,65.31,3.5
913,목초,제주,2017,20403,16.8,-1.1,37,23,6,773.3,67.5,1981.3,44.53,3.1
914,목초,진주,2017,16498,13.5,-12,37.1,24,7,766.7,61.2,2616.3,58.8,1.2
